prompt,cfg,step,seed,image_name,part_id,concept_type,clip_score
a dog driving a tank realistic cinematic 3 5 mm ,7.0,50,2248522451,2c033d9f-1e52-4795-ba10-be1708236cd7.png,6,character,0.3005
"mount epic brown elekk screenshot world of warcraft mounts worldboss bioluminecant light concept sketch art and by feng zhu alena aenami artworks in 4 k beeple, by thomas kinkade heartstone overwatch blizzard 3 d rtx hdr ",12.0,50,2697264269,f0575d41-2fdd-4ba4-bfcd-be4b40cca070.png,1,scene,0.2549
"dark grey skinned female goblin with an oversized red axe, d & d, fantasy, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, global illumination, shaded, art by artgerm and greg rutkowski and fuji choko and viktoria gavrilenko and hoang lap ",7.0,50,2809240640,a5ff9301-edf9-4730-ad70-4188aec6c4f1.png,2,object,0.3302
"cinematic portrait of teenage ryan gosling as a girl wearing female red futuristic jumpsuit with blue collar, fullbody, space station at background, high detail, 8 k, sharp focus, movie still, dramatic lighting, ray tracing, smooth, lane brown, finnstark, oleg bulakh, diego fazio, mike dargas ",7.0,50,3288619294,0fa0ebb6-bd82-4d14-860f-319a19cf79a7.png,6,character,0.2757
"painted closeup portrait of intense woman, fierce, fantasy, intricate, elegant, extremely detailed by chuck close, charcoal on canvas ",25.0,50,2492490063,bf7da09f-94cc-425c-b71b-5fae90289fd8.png,1,character,0.2869
"life bar and mana bar, in concept art of main menu loading screen background. for russian mmorpg eador genesis homm 6 king's bounty. by a freelance artist, artstation, behance ",7.0,50,3140745772,9b9f10b7-3be0-4626-8e5c-9278c3c9cf83.png,4,character,0.298
"sunrise in a juniper tree forest, light and shadow, epic lighting, rich texture, rich vivid color, paint stippling, paint spattering, paint dribbles, paint drips. gouache, watercolor, oil paint, color ink washes. by claude monet and vincent van gogh. award - winning, trending, featured. ",25.0,50,3757345437,00db43c5-94c1-418e-8dd3-194d50b8aeb6.png,4,scene,0.2306
"star wars portrait of a robert redford by greg rutkowski, jacen solo, very sad and relucant expression, wearing a biomechanical suit, scifi, digital painting, artstation, concept art, smooth, artstation hq. ",6.3,50,2212111645,353d17cb-c7d6-442a-af47-0b6c461dba8a.png,2,character,0.3901
"symmetrical centered medium portrait of maya ali as a sorcerer, elden ring, matte painting concept art, pastel colours, official fanart behance hd artstation by jesper ejsing, by rhads and makoto shinkai and lois van baarle and ilya kuvshinov and rossdraws ",14.0,50,3997848861,1ee222b7-409a-4a18-949a-b0b38cefe0bb.png,1,character,0.2996
"emily wickersham as natalie portman, greg manchess, mucha ",7.0,50,2243593714,80c5c66f-ef8f-4943-b6f2-4fcea357df06.png,1,object,0.3743
sepia photograph of a ghost scary dramatic 3 5 mm realistic cinematic ,7.0,50,583108165,676f3a4c-a6db-41d6-9525-60145d227478.png,4,object,0.2946
"portrait photo still of a spooky scarecrow holding a match, wearing a witches hat, in front of an old church on fire at night, 8 k, 8 5 mm f 1. 8 ",10.0,50,2560634664,312c021a-f454-4d1b-a68b-975a849c8f77.png,4,character,0.306
"cyberpunk giraffe lion hybrid creature with long flowing mane and headdress of peacock feathers, detailed painting 4 k ",7.0,50,2464585720,1d4837da-4827-4dac-b468-d4ee557565d1.png,3,character,0.3319
"a man sitting on his computer with a backwards hat staring at several computer monitors showing crypto trades, illustration, colourful, chill, anime asthetic, neon glow, gamer, synthwave ",7.0,50,407804308,e023192f-93e4-47a6-9edf-10981f496ca1.png,2,character,0.2803
"low poly, pixar, un surreal hybrid animals, nostalgia for a fairytale, magic realism, flowerpunk, mysterious vivid colors by andy kehoe and amanda clarke en un mundo creado por gediminas pranckevicius y edward hopper ",7.0,50,1289571131,b07dc571-64cc-4442-b663-7446c02988bf.png,1,object,0.3072
"renaissance oil painting of fluffy white lop eared bunny rabbit, wearing royal robe with lace collar, crown with jewels and flowers, throne in background, detailed 4 k ",7.0,50,3178330023,4d48ad8c-fbb4-4a1a-a758-e2405835a897.png,4,object,0.3459
"portrait of a dancing eagle woman, beautiful blonde haired lakota sioux goddess, intricate, highly detailed, ray tracing, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha, 8 k ",9.0,50,821719629,d4055df6-786d-4015-a45c-ec80a77d50bb.png,2,character,0.2645
